id,created_at,text
1205492485922770946x,2019-12-13 14:19:40,"b'@ClintDickson actually, the $ part of this is pretty economical.  the monthly payments for the solar panels and suc\xe2\x80\xa6 https://t.co/uth50gp3uG'"
1205492003028357122x,2019-12-13 14:17:45,"b'@TonyBotzZz @SASOstayinFLY @Ryan_Sickles @__mynameiscam so, it might be to code but also might be a less than profe\xe2\x80\xa6 https://t.co/VrZbuVQJpp'"
1205491709250920448x,2019-12-13 14:16:35,"b""@jaysphoto @RideOnewheel @super73 regretfully i think that puts you just outside of the 'LA friends' part of the eq\xe2\x80\xa6 https://t.co/o2dN0X4FhE"""
1205490533000331271x,2019-12-13 14:11:54,"b""hey LA friends!  two of my favorite startups @RideOnewheel and @super73 are doing a pop-up today.  it's free and lo\xe2\x80\xa6 https://t.co/yuxGes4lnt"""
1205486949521166336x,2019-12-13 13:57:40,"b'@SASOstayinFLY @Ryan_Sickles @TonyBotzZz @__mynameiscam tell me more, pls be specific.  \n\nthis is all helpful.  the\xe2\x80\xa6 https://t.co/cbxdQdfs6q'"
1205480051287851011x,2019-12-13 13:30:15,b'@Hevesh5 @Forbes @ForbesUnder30 \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f so happy for you \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1205312085883641856x,2019-12-13 02:22:49,b'my Tesla house is now operational https://t.co/O9oTQQfcZo'
1205272172937170945x,2019-12-12 23:44:13,b'my wife in a helicopter because \xe2\x80\x98there was bad traffic\xe2\x80\x99 https://t.co/99MMUE9qLl'
1205240852492087296x,2019-12-12 21:39:46,b'@Cadenza1451 @Tesla No.  I have a flat roof so it\xe2\x80\x99s perfect for panels'
1205239992169058304x,2019-12-12 21:36:21,b'also this has been a huge undertaking and @Tesla has been great.'
1205239836967202816x,2019-12-12 21:35:44,b'solar powered house.  \nITS HAPPENING!!! https://t.co/Nf45JsFmyO'
1205192925950251009x,2019-12-12 18:29:19,b'@kaleighf You can get a nice parking spot in La for that price'
1205192691157352448x,2019-12-12 18:28:23,b'that\xe2\x80\x99s my sweatshirt.  It was a gift from @jasonnash and I would like it back.   also that\xe2\x80\x99s my hat. https://t.co/aC8seSvLPn'
1205176686670561281x,2019-12-12 17:24:47,b'@LiquidSymbolic Everyday'
1205168857230430208x,2019-12-12 16:53:41,"b'she dictates, I draw https://t.co/0dc9agjUY3'"
